"Predicted_Units_Sold","Predicted_Total_Revenue","Predicted_Total_Profit"
6087.27706355704,6185.70444153528,6185.70444153528
5579.11600109549,5685.80386988426,5685.80386988426
3896.77915603486,4020.44876972452,4020.44876972452
5989.42991873148,6106.35486572013,6106.35486572013
5641.76106872017,5745.44273541319,5745.44273541319
3319.91905990157,3442.56955794877,3442.56955794877
3260.92461173729,3392.80858585636,3392.80858585636
5638.78299593549,5746.25639014135,5746.25639014135
8790.87332221431,8855.0595341055,8855.0595341055
3304.99521361668,3438.5708892562,3438.5708892562
5677.75206760244,5777.52403898152,5777.52403898152
3895.63120455366,4011.36499026049,4011.36499026049
4325.18861077836,4452.04594242222,4452.04594242222
4072.71044291351,4195.39531088995,4195.39531088995
5506.91874393098,5621.5140032196,5621.5140032196
10982.7726579691,11041.807592472,11041.807592472
4382.42139994276,4511.71851886795,4511.71851886795
4449.41371831177,4578.83946061876,4578.83946061876
4033.93943575921,4164.12008153805,4164.12008153805
4630.50451834804,4744.39723868177,4744.39723868177
5721.18117533829,5824.60125975475,5824.60125975475
4763.89698785589,4881.74885467374,4881.74885467374
5302.17757812627,5402.61983230418,5402.61983230418
6701.6676968522,6804.26847614701,6804.26847614701
3442.36660504382,3570.94662312138,3570.94662312138
5988.12440532776,6092.54129136057,6092.54129136057
7548.2180758988,7648.9598255031,7648.9598255031
8591.81300476387,8676.74853833458,8676.74853833458
3841.13486777371,3975.68381746507,3975.68381746507
3731.76547374618,3865.12937514026,3865.12937514026
3381.92713447494,3530.13580102079,3530.13580102079
4083.22783160931,4207.92096797895,4207.92096797895
3359.17083001324,3486.21045200924,3486.21045200924
8322.50123920158,8413.78147316572,8413.78147316572
3896.61662048444,4017.84569435305,4017.84569435305
3379.1491067414,3518.60388914984,3518.60388914984
3313.99469738016,3462.42758713006,3462.42758713006
3478.72545508216,3598.9036108403,3598.9036108403
8195.61888341215,8281.52055459906,8281.52055459906
3751.44415256452,3877.46322976938,3877.46322976938
3980.40914116142,4114.14105928172,4114.14105928172
7074.16630591205,7159.2373078625,7159.2373078625
3724.70155795322,3869.00284908849,3869.00284908849
3852.24349093799,3977.93265307842,3977.93265307842
4778.13093616429,4894.14858633752,4894.14858633752
3876.3993985003,3993.12114900907,3993.12114900907
3294.25428577918,3421.02521986297,3421.02521986297
3248.49980620533,3388.82919617579,3388.82919617579
4425.80460998781,4561.65322005917,4561.65322005917
4893.50360312634,5017.57250352437,5017.57250352437
3893.36741779647,4015.44538995936,4015.44538995936
4000.18389154644,4115.63325129146,4115.63325129146
3466.09619401497,3591.49771649385,3591.49771649385
4038.57378940297,4178.47391655655,4178.47391655655
3912.28984976577,4027.32031594337,4027.32031594337
6097.42343419053,6205.06135630738,6205.06135630738
5213.26209318818,5318.89864477321,5318.89864477321
6046.79948891168,6157.50765741584,6157.50765741584
7155.37338689123,7247.12630773785,7247.12630773785
4993.31049357463,5096.88986913795,5096.88986913795
9967.4889778496,10038.0528028553,10038.0528028553
4496.73203459784,4628.88586551088,4628.88586551088
4822.15957411233,4936.23808929418,4936.23808929418
3549.14032013767,3678.23692651655,3678.23692651655
5212.83756582474,5334.6855549541,5334.6855549541
3249.8029836159,3380.24217323315,3380.24217323315
4892.80202621587,5016.20360097146,5016.20360097146
4261.22029600899,4386.25628935957,4386.25628935957
3257.22670595976,3382.10195427596,3382.10195427596
4135.58212533206,4248.41355029981,4248.41355029981
5893.2625892321,5996.36044881754,5996.36044881754
5130.06909703805,5240.12096031685,5240.12096031685
4316.01145635563,4449.82261668658,4449.82261668658
3405.93950446765,3552.2841925877,3552.2841925877
4159.2411511559,4278.5139952162,4278.5139952162
6385.4631738256,6493.97903443096,6493.97903443096
3358.2125624644,3498.71641745105,3498.71641745105
6637.62621979198,6746.80446289487,6746.80446289487
3872.20188375709,3996.54181005427,3996.54181005427
3293.67466408258,3432.42755256688,3432.42755256688
4300.39710328756,4430.27291741377,4430.27291741377
3581.2368020816,3719.22313424959,3719.22313424959
4734.8069373056,4853.53813289304,4853.53813289304
6574.04408391964,6686.81700170786,6686.81700170786
4021.7851958664,4154.33479238105,4154.33479238105
4193.14294470987,4316.49802059631,4316.49802059631
4895.74042903041,5015.22216011025,5015.22216011025
3855.10767979994,3985.78997602325,3985.78997602325
7661.57022220396,7752.29270581407,7752.29270581407
5333.8221537449,5459.55867618013,5459.55867618013
3525.17111176786,3657.8879625754,3657.8879625754
3238.94260038689,3371.51193433872,3371.51193433872
3852.30645015351,3975.67048636735,3975.67048636735
3926.64323185072,4042.71966498546,4042.71966498546
3735.67998802898,3857.97955893669,3857.97955893669
6988.30574012995,7079.70589757273,7079.70589757273
7849.51224451718,7943.43816486281,7943.43816486281
4380.63590913084,4513.87265729172,4513.87265729172
3882.89833889727,4015.60739982367,4015.60739982367
8317.18159831718,8394.27217662309,8394.27217662309
5999.11476038092,6115.35753074679,6115.35753074679
4999.95707622544,5103.69020212431,5103.69020212431
5198.70380305887,5317.05048010133,5317.05048010133
5307.57745872333,5414.97807228692,5414.97807228692
4017.6788639752,4143.99535623691,4143.99535623691
6443.62894511481,6550.23633706411,6550.23633706411
5476.474757553,5576.53891688084,5576.53891688084
4949.08728884083,5053.79378992704,5053.79378992704
3329.80103441781,3465.54256520812,3465.54256520812
6240.0325363016,6346.33567585097,6346.33567585097
7063.96428284751,7173.14961645887,7173.14961645887
9135.10453174942,9210.65344239741,9210.65344239741
3305.70781309507,3454.18662291273,3454.18662291273
8161.10408593146,8250.36405181142,8250.36405181142
4611.49434598259,4722.85920035233,4722.85920035233
3462.77601413277,3604.60209157438,3604.60209157438
3777.90909397732,3911.82846837101,3911.82846837101
3833.20736164099,3975.61796529171,3975.61796529171
4050.65266055841,4179.81876117778,4179.81876117778
8653.48387536343,8732.26367354144,8732.26367354144
4594.62381971164,4715.15655218287,4715.15655218287
5733.69857617583,5833.37471471862,5833.37471471862
4616.39193389942,4725.14421628936,4725.14421628936
4250.81662707926,4383.20521053782,4383.20521053782
4008.58347298534,4132.8443294838,4132.8443294838
3712.23587481481,3838.51426523661,3838.51426523661
5354.24356184548,5471.06338746233,5471.06338746233
4589.03345031707,4705.73769725794,4705.73769725794
4730.52538540519,4843.81802375859,4843.81802375859
7470.28457051857,7556.16839926801,7556.16839926801
3750.10338943628,3868.38151565708,3868.38151565708
4645.32758416522,4757.70113011512,4757.70113011512
3697.62904680185,3815.29097209243,3815.29097209243
3323.82838020864,3446.12636157521,3446.12636157521
5387.87317050899,5497.64862679298,5497.64862679298
5597.51377181388,5701.53015199479,5701.53015199479
3715.99894004219,3850.14229894811,3850.14229894811
4535.99972503106,4656.30348397387,4656.30348397387
8849.78234717288,8923.88862163132,8923.88862163132
3454.25066833775,3585.85264410496,3585.85264410496
7316.68451730377,7419.92782191211,7419.92782191211
4710.4997031326,4826.51340316324,4826.51340316324
3328.31867518449,3452.57165637479,3452.57165637479
4622.61571302432,4746.34063626682,4746.34063626682
5741.05483292505,5857.05187478144,5857.05187478144
5459.203002084,5578.19774907554,5578.19774907554
8369.72227846085,8447.41763534746,8447.41763534746
3351.12715931411,3490.3358063802,3490.3358063802
9654.68548411855,9710.04721935463,9710.04721935463
5939.72670532088,6045.60465053099,6045.60465053099
5541.92348336118,5641.39368934738,5641.39368934738
3296.39728263547,3432.50733809498,3432.50733809498
